epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1311.63,0.67742,0.68266,0.95804,0.94294,0.76923,0.78701,0.60396,0.98304,1.16784,1.19943,0.0011882,0.0011882,0.0011882
43,1334.21,0.66664,0.69223,0.97076,1,0.74348,0.79669,0.63085,1.01231,1.09536,1.23282,0.0011684,0.0011684,0.0011684
44,1355.74,0.64556,0.66687,0.97066,0.99616,0.76923,0.79633,0.60742,1.0259,1.098,1.19941,0.0011486,0.0011486,0.0011486
45,1376.76,0.65572,0.64533,0.97255,0.9955,0.76923,0.79815,0.61282,0.96785,1.14398,1.11596,0.0011288,0.0011288,0.0011288
46,1398.2,0.66183,0.65851,0.99544,0.97982,0.76923,0.79246,0.61266,1.04038,1.14962,1.16099,0.001109,0.001109,0.001109
47,1422.68,0.66391,0.64524,0.97948,0.87696,0.76923,0.77221,0.60271,1.10598,1.20181,1.25319,0.0010892,0.0010892,0.0010892
48,1447.68,0.73464,0.70616,0.97131,0.90882,0.76686,0.77954,0.59442,1.09168,1.09353,1.24444,0.0010694,0.0010694,0.0010694
49,1481.85,0.75335,0.71025,0.99838,0.90361,0.76923,0.78044,0.60061,1.03682,1.08695,1.18285,0.0010496,0.0010496,0.0010496
50,1517.92,0.6825,0.68267,0.99379,0.92849,0.69231,0.76588,0.5819,1.09693,1.16261,1.23981,0.0010298,0.0010298,0.0010298
51,1557.35,0.68689,0.69184,1.00433,0.87637,0.73077,0.77595,0.59108,1.05953,1.15034,1.19717,0.00101,0.00101,0.00101
52,1598.76,0.65406,0.62895,0.96594,1,0.65169,0.76571,0.5951,1.0269,1.04844,1.16475,0.0009902,0.0009902,0.0009902
53,1645.52,0.68904,0.65349,0.97855,0.99225,0.61538,0.76054,0.57456,1.07798,1.07167,1.19866,0.0009704,0.0009704,0.0009704
54,1696.47,0.65742,0.64184,0.97139,0.99353,0.61538,0.75608,0.56954,1.07511,1.13906,1.17983,0.0009506,0.0009506,0.0009506
55,1756.43,0.64287,0.61451,0.95738,0.92942,0.65385,0.75256,0.57675,1.07546,1.19308,1.19988,0.0009308,0.0009308,0.0009308
56,1802.79,0.63988,0.61762,0.98043,0.96485,0.65385,0.72833,0.57531,1.07552,1.20568,1.20688,0.000911,0.000911,0.000911
57,1828.29,0.652,0.58721,0.95166,0.96258,0.65385,0.7437,0.59012,0.99942,1.18312,1.18132,0.0008912,0.0008912,0.0008912
58,1855.03,0.67969,0.62615,0.99421,0.95017,0.65385,0.75036,0.60807,0.97669,1.1375,1.2057,0.0008714,0.0008714,0.0008714
59,1882.79,0.64081,0.5933,0.96291,0.90392,0.72394,0.80099,0.63874,0.95362,1.07231,1.19677,0.0008516,0.0008516,0.0008516
60,1908.75,0.64477,0.57241,0.95287,1,0.76349,0.83355,0.65085,0.93088,0.98303,1.17762,0.0008318,0.0008318,0.0008318
61,1934.39,0.66204,0.62257,0.98829,1,0.72815,0.83487,0.64324,0.90509,0.95316,1.12872,0.000812,0.000812,0.000812
62,1960.89,0.615,0.56511,0.95173,0.94917,0.7186,0.82181,0.64416,0.91864,0.93937,1.13159,0.0007922,0.0007922,0.0007922
63,3041.04,0.60011,0.5564,0.93598,1,0.72762,0.81602,0.64272,0.91171,0.94087,1.1406,0.0007724,0.0007724,0.0007724
64,3067.97,0.62511,0.56785,0.9921,0.98582,0.73077,0.812,0.6457,0.93405,0.97691,1.12167,0.0007526,0.0007526,0.0007526
65,3094.48,0.57071,0.52901,0.92072,0.94496,0.73077,0.81316,0.64303,0.93942,0.97594,1.12943,0.0007328,0.0007328,0.0007328
66,3120.43,0.63475,0.5949,0.98283,0.94562,0.73077,0.81111,0.64925,0.89861,0.96019,1.11113,0.000713,0.000713,0.000713
67,3147.34,0.58886,0.54738,0.95622,0.96337,0.73077,0.80567,0.64748,0.91569,0.94562,1.11949,0.0006932,0.0006932,0.0006932
68,3174.12,0.62456,0.58234,0.98299,0.99121,0.73077,0.81148,0.63752,0.90977,0.91843,1.08445,0.0006734,0.0006734,0.0006734
69,3200.44,0.58531,0.525,0.92362,0.95091,0.76923,0.81218,0.6564,0.88719,0.92526,1.08513,0.0006536,0.0006536,0.0006536
70,3227.55,0.58684,0.51629,0.95693,1,0.72463,0.80887,0.64031,0.86556,0.90575,1.0823,0.0006338,0.0006338,0.0006338
71,3952.74,0.61492,0.53927,0.96094,0.99144,0.73077,0.81401,0.64671,0.88356,0.92879,1.10965,0.000614,0.000614,0.000614
72,3979.8,0.58643,0.54434,0.96148,1,0.80521,0.81252,0.66303,0.8969,0.91208,1.09254,0.0005942,0.0005942,0.0005942
73,4006.45,0.54949,0.4938,0.93417,0.99692,0.76923,0.81933,0.65077,0.89977,0.91687,1.07673,0.0005744,0.0005744,0.0005744
74,4031.57,0.55614,0.50634,0.91662,0.98354,0.73077,0.80787,0.65336,0.9091,0.9233,1.08068,0.0005546,0.0005546,0.0005546
75,4058.31,0.52619,0.48941,0.94155,0.99628,0.76923,0.81118,0.66609,0.87854,0.91542,1.0601,0.0005348,0.0005348,0.0005348
76,4084.12,0.54173,0.50564,0.92918,0.99598,0.76923,0.82192,0.66802,0.88599,0.9142,1.09159,0.000515,0.000515,0.000515
77,4110.12,0.56796,0.50969,0.93499,0.99646,0.76923,0.82231,0.65221,0.95404,0.94745,1.1412,0.0004952,0.0004952,0.0004952
78,4136.58,0.50092,0.45992,0.90397,1,0.76708,0.81733,0.64921,0.95346,0.91032,1.13217,0.0004754,0.0004754,0.0004754
79,4337.01,0.52741,0.47648,0.93661,0.94143,0.76923,0.83819,0.66262,0.95735,0.89717,1.12338,0.0004556,0.0004556,0.0004556
80,4363.88,0.54403,0.49903,0.92921,0.99055,0.73077,0.82684,0.6607,0.95382,0.88138,1.09554,0.0004358,0.0004358,0.0004358
81,4389.98,0.51525,0.45555,0.91001,0.99191,0.73077,0.81924,0.66251,0.95679,0.89821,1.09819,0.000416,0.000416,0.000416
82,4415.99,0.47605,0.46225,0.91763,0.99202,0.73077,0.81538,0.66009,0.92448,0.85427,1.0761,0.0003962,0.0003962,0.0003962
83,4441.96,0.49929,0.46487,0.91226,0.99203,0.73077,0.83856,0.67831,0.89567,0.82858,1.06638,0.0003764,0.0003764,0.0003764
84,4469.52,0.46597,0.4503,0.91132,0.95189,0.76132,0.85002,0.68489,0.92486,0.85909,1.0756,0.0003566,0.0003566,0.0003566
85,4497.19,0.46962,0.45066,0.92033,0.87842,0.80769,0.85776,0.68099,0.90327,0.84448,1.07388,0.0003368,0.0003368,0.0003368
86,4525.06,0.49528,0.47961,0.94267,0.99033,0.76923,0.86271,0.68861,0.89959,0.82845,1.06643,0.000317,0.000317,0.000317
87,4551.88,0.456,0.4284,0.88567,0.98705,0.76923,0.86898,0.6745,0.88946,0.80734,1.05496,0.0002972,0.0002972,0.0002972
88,4578.98,0.49452,0.45864,0.9188,1,0.79796,0.87459,0.70778,0.86408,0.77763,1.03975,0.0002774,0.0002774,0.0002774
89,4606.69,0.49003,0.46229,0.90543,0.93595,0.80769,0.87091,0.70118,0.85204,0.78366,1.0279,0.0002576,0.0002576,0.0002576
90,4634.1,0.49607,0.45715,0.95433,0.95443,0.80561,0.87083,0.69715,0.82254,0.76655,1.00369,0.0002378,0.0002378,0.0002378
91,4659.93,0.37398,0.48597,0.85635,0.94175,0.80769,0.8665,0.69243,0.82302,0.7698,1.00297,0.000218,0.000218,0.000218
92,4685.19,0.35891,0.48042,0.8292,0.99093,0.80769,0.85256,0.68007,0.82139,0.78009,0.99618,0.0001982,0.0001982,0.0001982
93,4710.59,0.35116,0.41138,0.83004,0.99281,0.80769,0.83654,0.68257,0.82379,0.78393,0.99608,0.0001784,0.0001784,0.0001784
94,4736.46,0.34697,0.41984,0.83651,0.95436,0.80435,0.82349,0.66671,0.82631,0.7961,0.99283,0.0001586,0.0001586,0.0001586
95,4762.84,0.3532,0.40821,0.86962,0.95431,0.80349,0.82426,0.67383,0.80692,0.79501,0.97837,0.0001388,0.0001388,0.0001388
96,4789.03,0.36004,0.42615,0.85246,0.94886,0.76923,0.82427,0.67185,0.79848,0.8134,0.96605,0.000119,0.000119,0.000119
97,4826.89,0.32668,0.40677,0.8232,0.99633,0.80769,0.83112,0.68107,0.78308,0.80039,0.9591,9.92e-05,9.92e-05,9.92e-05
98,4868.54,0.31567,0.39441,0.82948,0.99584,0.80769,0.83239,0.69759,0.78536,0.79403,0.96214,7.94e-05,7.94e-05,7.94e-05
99,4913.92,0.33854,0.40587,0.86032,0.99476,0.80769,0.83386,0.69849,0.8001,0.79599,0.97666,5.96e-05,5.96e-05,5.96e-05
100,4965.65,0.3619,0.42224,0.87386,0.9929,0.80769,0.83679,0.71293,0.78042,0.7738,0.95824,3.98e-05,3.98e-05,3.98e-05
